title,release_date,vote_average,vote_count
Gladiador,2000-05-04,8.217,18595
Vingadores: Guerra Infinita,2018-04-25,8.243,29695
O Senhor dos Anéis: A Sociedade do Anel,2001-12-18,8.4,25132
Vingadores: Ultimato,2019-04-24,8.248,25585
O Senhor dos Anéis: O Retorno do Rei,2003-12-17,8.5,24184
O Senhor dos Anéis: As Duas Torres,2002-12-18,8.4,21825
Homem-Aranha: No Aranhaverso,2018-12-06,8.4,15586
A Origem,2010-07-15,8.369,36534
Guerra nas Estrelas,1977-05-25,8.204,20554
Como Treinar o Seu Dragão: Volta ao Lar,2019-12-03,8.1,945
My Hero Academia: O Filme – Ascensão dos Heróis,2019-12-20,8.2,1161
Guerra nas Estrelas: O Império Contra-Ataca,1980-05-20,8.4,16905
Along with the Gods: The Two Worlds,2017-12-20,8.1,1037
Along With the Gods: The Last 49 Days,2018-08-01,8.1,661
黒執事 Book of Murder,2014-10-25,8.1,56
Digimon Adventure: Last Evolution Kizuna,2020-02-21,8.1,240
A Irmandade da Guerra,2004-02-05,8.0,656
Primal: Tales of Savagery,2019-11-21,8.4,315
Digimon Adventure: Filme 2 - Bokura no War Game,2000-03-04,8.2,64
Kamen Rider Build Novo Mundo - Kamen Rider Grease,2019-09-06,8.3,3
けっこう仮面 新生-REBORN-,2012-06-02,8.182,11
"ツ バ サ 春雷 記, Tsubasa Shunraiki",2009-03-17,8.0,1
Max Steel Vs A Legião Tóxica,2010-11-15,8.2,18
Garotas em Apuros: Equipe Espacial Episódio Zero,2017-06-17,8.6,8
"My Little Pony, Equestria Girls: Pânico nas Férias",2019-03-30,8.4,55
Power Rangers: Shattered Grid,2018-03-22,9.2,6
Hunter x Hunter Piloto,1998-07-26,8.9,33
Chhota Bheem aur Krishna: Pataliputra - City of the Dead,2009-09-27,10.0,1
Dokidoki preCure,2013-10-26,8.0,8
ドライブサーガ 仮面ライダーマッハ/仮面ライダーハート,2016-11-16,8.2,4
映画 プリキュアスーパースターズ！,2018-03-17,8.5,5
Esquadrão de Emergência GoGoFive: Choque repentino! Novo Super Guerreiro,1999-07-09,8.7,3
Rise & Shine: The Jay DeMerit Story,2011-11-03,8.0,1
O Diário Mágico,2018-01-01,10.0,1
映画 プリキュアオールスターズDX3 未来にとどけ！世界をつなぐ☆虹色の花,2011-03-19,8.2,11
劇場版 仮面ライダー電王&キバ クライマックス刑事,2008-04-12,8.0,7
劇場版 騎士竜戦隊リュウソウジャーvsルパンレンジャーvsパトレンジャー,2020-02-08,9.0,1
As Meninas Superpoderosas Detonam!,2008-11-28,8.0,6
Il cuore e la spada,1998-11-22,8.0,1
Let's & Go! WGP The Great Pursuit of the Berserk Mini 4WD car!,1997-07-05,10.0,1
忍者戦隊カクレンジャー THE MOVIE,1994-04-16,8.0,3
G.I. Joe: The Revenge of Cobra,1984-09-10,8.1,7
Tokusou Sentai Dekaranger: 10 ANOS DEPOIS,2015-10-07,8.8,6
映画プリキュアミラクルリープ みんなとの不思議な1日,2020-10-31,8.0,3
映画 ハピネスチャージプリキュア！ 人形の国のバレリーナ,2014-10-11,8.2,9
Gigantes Guerreiros Goggle V: O Filme,1982-03-13,8.0,3
Jonny Quest vs. the Cyber Insects,1995-11-19,8.7,7
未来少年コナン,1979-09-15,8.6,8
実相寺昭雄監督作品ウルトラマン,1979-03-17,8.2,4
Ashanti,1982-05-07,8.5,4
Magic Temple,1996-12-25,8.8,4
ウルトラマンガイア ガイアよ再び,2001-03-25,8.0,3
Fatal Mission,1990-07-25,9.2,34
Pandawa Lima,1983-10-11,8.0,1
ミュージカル ハンター×ハンター ナイトメア・オブ・ゾルディック,2002-08-01,8.0,1
Ejen Ali: The Movie,2019-11-28,8.1,19
Chhota Bheem: Kung Fu Dhamaka,2019-05-10,8.3,3
Kamen Rider Saber: O Espadachim da Fênix e o Livro da Destruição,2020-12-18,8.0,3
特捜ロボジャンパーソン 母よ、永遠に!愛と炎の電脳手術室,1993-04-17,9.0,1
宇宙戦艦ヤマト,1977-08-06,8.7,9
タイガーマスク,2013-11-09,8.5,2
炎神戦隊ゴーオンジャー 10 YEARS GRANDPRIX,2018-09-26,9.3,3
映画 魔法つかいプリキュア！奇跡の変身！キュアモフルン！,2016-10-29,8.1,6
3 Bahadur: Rise of the Warriors,2018-12-14,10.0,1
テイルズ オブ ゼスティリア ～導師の夜明け～,2014-12-30,8.2,4
"Pedro Penduko, Episode II: The Return Of The Comeback",2000-05-26,8.8,4
Mobile Suit Gundam AGE: Memory of Eden,2013-07-26,8.0,1
ジャッカー電撃隊VSゴレンジャー,1978-03-17,8.0,3
Max Steel: Contagem Regressiva,2006-10-01,8.6,13
老九门番外之二月花开,2016-10-20,10.0,1
仮面ライダー電王　プリティ電王とうじょう！,2020-08-14,8.0,3
ビーストウォーズII ライオコンボイ危機一髪!,1998-12-19,8.0,1
秘密戦隊ゴレンジャー 爆弾ハリケーン,1976-07-22,8.6,5
যত কাণ্ড কাঠমাণ্ডুতে,1996-01-02,8.0,2
真・女立喰師列伝,2007-11-10,8.5,2
Tomica Hero Rescue Force - O Filme Explosivo! Salve o Mach Train,2008-12-20,8.0,1
Esquadrão Relâmpago Changeman - O Filme,1985-03-15,8.3,3
仮面ライダークウガ 特別篇,2001-10-21,10.0,1
Rollerboys,1995-03-31,10.0,1
パンドラとアクビ,2019-04-05,8.0,1
東京ワンピースタワー トンガリ島の大秘宝,2016-11-01,10.0,1
٣ بہادر: بابا بالام کا انتقام,2016-12-15,9.3,3
Macbeth: the death of Duncan,2018-06-02,8.0,2
Ninjago: Masters of Spinjitzu - Skybound,2016-04-09,10.0,1
Comando Estelar Flashman: O Filme,1986-03-14,8.0,2
Policial de Aço Jiban - O Filme,1989-07-05,8.5,6
タイガーマスク,1970-03-17,8.0,1
Ninjago: Masters of Spinjitzu - Rise of the Snakes,2011-12-02,8.0,1
Aakhri Badla,1989-01-01,10.0,1
Knight Immortal,2019-09-03,8.7,3
Sonic Underground: Secrets of the Chaos Emerald,2008-07-22,9.0,1
V8 - Die Rache der Nitros,2015-10-29,8.5,4
Kamen Rider Zi-O: Espetáculo Final,2020-03-25,9.0,1
Esquadrão Relâmpago Changeman: O Filme 2 - Base Shuttle em Perigo!,1985-07-13,8.0,3
The Making of a Tomb Raider,2018-09-12,10.0,1
大蛇2,2019-12-06,8.5,2
桃太郎大顯神威,1988-07-23,9.0,3
When Dogs Fly,2015-03-31,8.0,1
ウルトラマンメビウス外伝 ゴーストリバース STAGE I -暗黒の墓場,2009-11-25,8.0,1
超力戦隊オーレンジャー The Movie,1995-04-15,8.3,3
Deserto di fuoco,1997-01-01,9.3,3
Minds in the Water,2012-04-01,10.0,1
Brandon Semenuk's Rad Company,2014-06-13,8.5,2
Tonyong Bayawak,1979-10-15,10.0,2
Ned Venture,2017-07-22,10.0,1
銀魂 よりぬき銀魂さんオンシアター2D,2012-08-26,9.0,10
The Lies We Tell But the Secrets We Keep Part 3,2014-09-22,8.0,2
Top Gear: The Best of the Specials,2017-11-27,8.8,4
Kamen Rider: Corra Por Todo o Mundo,1989-04-29,9.5,2
Liceenii în alertă,1993-11-19,8.0,7
High Seas Hijack,1977-10-20,10.0,1
"Fly, O Pequeno Guerreiro - Ergam-se! Discípulos de Avan!",1992-03-07,8.5,2
Cyrano,1974-03-06,9.0,1
宇宙戦隊キュウレンジャー Episode of スティンガー,2017-10-25,8.5,2
炎神戦隊ゴーオンジャー BONBON!BONBON!ネットでBONG!!,2008-07-11,8.0,1
Frontier,2001-03-09,9.0,1
Powderkeg,1971-04-16,8.0,1
Chasing Red,2015-01-10,10.0,1
